TCM_symptom_id,TCM_symptom_name,status,detail_url,reason
69,嘈杂呕吐,not_found,https://baike.duguji.cn/baike/w/%E5%98%88%E6%9D%82%E5%91%95%E5%90%90,HTTP 404: page does not exist
77,产后乳房结块,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E4%B9%B3%E6%88%BF%E7%BB%93%E5%9D%97,HTTP 404: page does not exist
76,产后流血,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E6%B5%81%E8%A1%80,HTTP 404: page does not exist
94,陈旧性伤痛,not_found,https://baike.duguji.cn/baike/w/%E9%99%88%E6%97%A7%E6%80%A7%E4%BC%A4%E7%97%9B,HTTP 404: page does not exist
54,病后脱发,not_found,https://baike.duguji.cn/baike/w/%E7%97%85%E5%90%8E%E8%84%B1%E5%8F%91,HTTP 404: page does not exist
78,产后乳汁不通,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E4%B9%B3%E6%B1%81%E4%B8%8D%E9%80%9A,HTTP 404: page does not exist
35,闭合性新旧软组织损伤,not_found,https://baike.duguji.cn/baike/w/%E9%97%AD%E5%90%88%E6%80%A7%E6%96%B0%E6%97%A7%E8%BD%AF%E7%BB%84%E7%BB%87%E6%8D%9F%E4%BC%A4,HTTP 404: page does not exist
85,产后瘀痛,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E7%98%80%E7%97%9B,HTTP 404: page does not exist
86,产后诸虚,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E8%AF%B8%E8%99%9A,HTTP 404: page does not exist
55,病后虚弱,not_found,https://baike.duguji.cn/baike/w/%E7%97%85%E5%90%8E%E8%99%9A%E5%BC%B1,HTTP 404: page does not exist
95,晨起面肿,not_found,https://baike.duguji.cn/baike/w/%E6%99%A8%E8%B5%B7%E9%9D%A2%E8%82%BF,HTTP 404: page does not exist
96,齿鼻衄血,not_found,https://baike.duguji.cn/baike/w/%E9%BD%BF%E9%BC%BB%E8%A1%84%E8%A1%80,HTTP 404: page does not exist
83,产后血虚,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E8%A1%80%E8%99%9A,HTTP 404: page does not exist
73,产后出血日久,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E5%87%BA%E8%A1%80%E6%97%A5%E4%B9%85,HTTP 404: page does not exist
53,病后体弱,not_found,https://baike.duguji.cn/baike/w/%E7%97%85%E5%90%8E%E4%BD%93%E5%BC%B1,HTTP 404: page does not exist
79,产后乳肿,not_found,https://baike.duguji.cn/baike/w/%E4%BA%A7%E5%90%8E%E4%B9%B3%E8%82%BF,HTTP 404: page does not exist
